grid_id,target_temp,bldg_area_sqm,road_length_m
0,47614.0,1755.6371185783678,484.0822426202294
1,47632.0,1821.205344872965,633.3116144215329
2,47525.0,2958.1096320890965,191.2344928809234
3,47419.0,2482.2871373429693,804.0551377096614
4,47099.0,2284.159472313167,2.7972256277890315
5,47186.0,2040.7285864305784,0.0
6,47160.0,494.0464088308032,265.78616542214206
7,47092.0,890.5972296739232,708.3785350679898
8,47331.0,2267.379825630662,1033.3228406762078
9,47155.0,2040.1244393274142,141.64485664454764
10,47502.0,4440.256238739139,0.0
11,47669.0,953.507805623181,251.42564669275328
12,48548.0,153.96008999873163,213.64447570026658
13,49671.0,3373.0039134721937,283.4396759105862
14,49315.0,1008.4046149171563,189.30365183845728
15,48705.0,2450.990740338536,448.44748498485757
16,47929.0,3899.7055041525205,524.3592346678972
17,48000.0,3443.6024509120225,693.2265784445243
18,47922.0,2730.854202182134,526.3501748718354
19,47729.0,1993.1798006304962,915.7736989389276
20,47185.0,1815.0612966106773,410.3486273628679
21,47013.0,1856.954323221362,329.4536506198628
22,46765.0,2183.9993998646205,551.7342696748399
23,46926.0,1778.6451236703106,253.089173980836
24,46853.0,738.7400364181169,213.10176166863738
25,47405.0,2717.820692814541,585.7776384648307
26,47584.0,3673.662119626634,457.21206061025254
27,47447.0,2798.796649086101,697.0298606048441
28,47854.0,3973.4817866811613,413.79049009652476
29,48022.0,2744.208118976361,1138.3723138519222
30,48174.0,3788.873633742013,752.9851486483192
31,47755.0,5044.078081787417,424.0177710299224
32,47830.0,4558.318117127996,691.4356408921276
33,47848.0,2502.549074638369,82.303706586473
34,47704.0,1440.5169712552754,767.6147097981353
35,47345.0,2301.7318001056437,713.6849417489099
36,46952.0,3986.031843709693,662.7493586229937
37,46693.0,863.1913232620136,1328.1866212425402
38,46567.0,810.9262820787616,531.3167216580307
39,46988.0,3159.7517106434075,226.83885443290959
40,47271.0,379.6460175892157,857.2741459351506
41,46909.0,905.3298752153355,352.9392832803461
42,47434.0,4684.920607961156,562.5043448453705
43,47727.0,3195.459150463898,1101.6647624763236
44,47651.0,1405.2581259903757,734.5721157518861
45,47830.0,842.3049488973709,289.62864426949784
46,48373.0,0.0,480.6999481052425
47,49276.0,0.0,629.692418373477
48,49112.0,0.0,481.99929905027176
49,48938.0,2256.7378010332736,495.8089223224069
50,48104.0,1754.7147699922411,549.1975941762311
51,47866.0,1793.7086338419397,1139.155739288853
52,47768.0,4529.394172120404,582.1987882824519
53,47828.0,4940.038455316508,390.5024274937044
54,47226.0,3557.330418836441,838.6737644329418
55,46881.0,1063.1679664013147,1230.8197196005656
56,46516.0,504.79312409049237,225.19890191496313
57,46286.0,1318.994968318917,294.73437305560265
58,46460.0,1165.5561054051002,212.56844110861599
59,47148.0,2527.1091130612876,319.79160978206073
60,47465.0,1509.7662214297222,669.2408280764848
61,47489.0,4534.470315017407,375.2550522936808
62,47685.0,4115.553716762057,579.4203727879898
63,47655.0,3971.4684124276805,671.8008704526999
64,47564.0,3874.182899470281,1058.4715947185164
65,47429.0,3202.735725021129,1141.6831443631202
66,47688.0,4148.186566974194,774.7172253208347
67,47615.0,1246.271389330696,205.527448658383
68,47478.0,2019.1075508508113,693.0998316681201
69,46940.0,5341.627858889824,839.2560723866558
70,46614.0,2357.5866230570564,1082.9563857094702
71,46638.0,1547.753551997957,906.1080590548717
72,46875.0,3248.207259183526,686.442439079965
73,47023.0,909.9353152473824,1222.5358971553655
74,46960.0,2261.214122396671,430.2120408631736
75,47038.0,879.6073902906965,413.49759090945406
76,47102.0,399.4159060230552,337.0566944841177
77,47445.0,785.3629834547199,270.5447642702743
78,47379.0,826.941452349346,977.706154745876
79,47742.0,2525.8215064075425,253.70013376341706
80,48171.0,0.0,486.6992438676189
81,49069.0,0.0,762.3380718947872
82,49157.0,0.0,505.52026528832306
83,49218.0,3222.906048611938,272.4325438109594
84,47791.0,1642.5972198787772,956.3971898191068
85,47247.0,1783.1084703280262,385.5910167963243
86,47286.0,3347.027573225294,758.93253824759
87,47235.0,3652.4579196814457,740.9307298799316
88,47297.0,3640.667167853646,568.7572922954437
89,46859.0,664.4648037504893,367.4197738044133
90,46416.0,0.0,621.6024165620174
91,46429.0,206.4931419809209,788.6773701108763
92,46674.0,4275.882121648572,426.7615367561366
93,47169.0,1972.840999854512,699.9729795399242
94,47331.0,1880.3992977877115,376.98450220979555
95,47596.0,751.981405598923,432.2560136423644
96,47723.0,3336.457776915699,817.8318312898618
97,47511.0,3430.8399564265906,556.8379028830585
98,47496.0,3119.7336264969954,569.0849824984282
99,47426.0,2299.926650726424,330.1899602649352
100,47312.0,2695.1508849218544,240.93302144862022
101,46672.0,623.9420202372496,0.0
102,47412.0,5309.138154491241,309.3134735646731
103,46772.0,1626.2858926705376,983.5222800243912
104,46806.0,2639.568871082398,416.52915634815946
105,46893.0,4958.474664973745,448.6658567652556
106,47008.0,3837.2853507803475,1238.8966886035737
107,47067.0,3389.765424406422,211.73718885139093
108,47032.0,1900.145834268479,1114.307427720919
109,47084.0,1804.8716453340476,498.1737357892035
110,47075.0,1418.7492770266858,277.89637385814996
111,47383.0,374.0689598761247,996.9778290688796
112,47322.0,4046.891442306546,175.95135141012503
113,47540.0,2665.5926510507434,0.0
114,47995.0,0.0,586.3396195908745
115,49004.0,0.0,793.4923890668679
116,48834.0,197.3386413096811,344.8900809845228
117,48698.0,3301.9304850583158,833.9239162550612
118,47127.0,162.3505345547118,386.8416491533367
119,46563.0,1455.3622711273513,303.2470438038663
120,46764.0,2365.5013375050353,292.3392998701061
121,46794.0,1308.0988299537778,632.4665901811591
122,46936.0,0.0,106.40826861690495
123,46610.0,0.0,0.0
124,46487.0,2033.240214866393,0.0
125,46466.0,0.0,363.62635405741366
126,46477.0,110.76760250147444,957.8590518287434
127,46763.0,1696.2492629792052,654.5957882716424
128,47263.0,609.6658980458037,1072.9991038091498
129,47617.0,1329.3003626435986,407.5515426518911
130,47755.0,974.8163040832734,565.8475041403026
131,47618.0,3789.8049215489273,243.9241299481825
132,47635.0,3153.6679283059343,499.95473054490054
133,47509.0,4347.783039930404,427.6225028873997
134,47209.0,1017.9757416487014,413.1149151368875
135,46504.0,472.07285397037356,0.0
136,47333.0,1968.8332416249693,814.2966664681417
137,47231.0,2445.724850221382,730.2764975691463
138,47251.0,2424.5367604034664,342.1284975738104
139,47163.0,2885.53612266356,111.79203301088741
140,47114.0,2363.560312846422,771.2779029721851
141,47423.0,2749.3404957818225,759.5949798705551
142,47313.0,3645.5721574682775,459.86458834873326
143,47075.0,1377.057972248108,760.5255533504585
144,47064.0,1022.1434660427715,1162.175422869641
145,47105.0,231.75875842955674,971.2728928829637
146,47277.0,3403.5603729716895,109.14052276237787
147,47410.0,2301.428156076123,33.8645276390621
148,47790.0,824.701778844463,225.44628968357597
149,48189.0,0.0,733.3935043195221
150,48027.0,413.9226041782998,502.23463954381896
151,47601.0,844.5536108085823,1345.2295426685284
152,47163.0,1068.6004904594336,371.38763402371626
153,46483.0,1262.796712143774,192.48737724977423
154,46407.0,603.2402234474888,469.5581266592153
155,46457.0,737.949816914957,37.149753112491425
156,46342.0,0.0,0.0
157,46285.0,332.1903925971811,0.0
