grid_id,target_temp,ndvi,ndbi,albedo,ndwi,elevation,population,bldg_area_sqm,road_length_m
0,47614.0,0.059961915016174316,0.04251061752438545,0.14111052453517914,-0.0881672352552414,921.0,227.36753845214844,1755.6371185769121,484.0822426200102
1,47632.0,0.08138616383075714,0.037766169756650925,0.15358255803585052,-0.10381380468606949,922.0,140.13681030273438,1821.2053448767683,633.3116144212571
2,47525.0,0.1204625740647316,0.03799213841557503,0.131321981549263,-0.13578638434410095,924.0,277.43536376953125,2958.109632083067,191.23449288089054
3,47419.0,0.08473820984363556,0.03143236041069031,0.15781839191913605,-0.1084044799208641,925.0,263.300048828125,2482.287137345807,804.0551377099794
4,47099.0,0.22555996477603912,-0.06977048516273499,0.14696672558784485,-0.23448406159877777,924.0,339.3315734863281,2284.1594723145445,2.7972256277890315
5,47186.0,0.08175582438707352,0.07529696077108383,0.2416640818119049,-0.1428571492433548,926.0,336.12982177734375,2040.7285864331946,0.0
6,47160.0,0.12346241623163223,0.05871126428246498,0.2515389621257782,-0.18700361251831055,923.0,177.36961364746094,494.04640883162216,265.7861654221393
7,47092.0,0.21461114287376404,-0.05674548074603081,0.12668201327323914,-0.21330192685127258,922.0,285.3349304199219,890.5972296724253,708.3785350681844
8,47331.0,0.21100571751594543,-0.0380718857049942,0.15302227437496185,-0.2117810994386673,925.0,664.1922607421875,2267.3798256305727,1033.3228406762805
9,47155.0,0.21629947423934937,-0.08857402205467224,0.1351454108953476,-0.2046499103307724,923.0,755.0582275390625,2040.1244393275829,141.64485664454764
10,47502.0,0.142224982380867,-0.05228150635957718,0.13127346336841583,-0.17394079267978668,925.0,793.3116455078125,4440.256238737758,0.0
11,47669.0,0.20306631922721863,-0.08113562315702438,0.13610751926898956,-0.20000000298023224,924.0,177.11793518066406,953.5078056230551,251.42564669270345
12,48548.0,0.1948440670967102,-0.005264964886009693,0.18551182746887207,-0.22100579738616943,919.0,131.66400146484375,153.96008999852592,213.64447570049927
13,49671.0,0.11149441450834274,0.06069616973400116,0.18781346082687378,-0.14572221040725708,925.0,176.78237915039062,3373.0039134675944,283.4396759105862
14,49315.0,0.11731135100126266,0.052259087562561035,0.19661033153533936,-0.1562877744436264,924.0,110.69171905517578,1008.4046149144933,189.30365183845728
15,48705.0,0.15629516541957855,0.00019228304154239595,0.15521788597106934,-0.17835021018981934,925.0,223.25697326660156,2450.9907403366506,448.4474849846253
16,47929.0,0.1038617268204689,0.00648190313950181,0.1386110931634903,-0.1354663074016571,925.0,622.471435546875,3899.705504154383,524.3592346679919
17,48000.0,0.09526624530553818,-0.007067009806632996,0.13251648843288422,-0.11187580227851868,925.0,693.8051147460938,3443.6024509091517,693.2265784445243
18,47922.0,0.1377444565296173,-0.03680309280753136,0.16358953714370728,-0.16641287505626678,921.0,303.6227722167969,2730.8542021825147,526.3501748716162
19,47729.0,0.21129633486270905,-0.06509570777416229,0.169561967253685,-0.2199631631374359,924.0,645.5269165039062,1993.179800630067,915.7736989395901
20,47185.0,0.22490207850933075,-0.08241037279367447,0.11718659102916718,-0.20826385915279388,924.0,307.2439880371094,1815.0612966113458,410.348627362593
21,47013.0,0.17342430353164673,-0.033950407058000565,0.13787533342838287,-0.19378499686717987,928.0,311.56427001953125,1856.95432321934,329.4536506198267
22,46765.0,0.1637665033340454,-0.06630166620016098,0.18598003685474396,-0.19282540678977966,931.0,43.37068557739258,2183.9993998666564,551.7342696746528
23,46926.0,0.22028550505638123,-0.0706155076622963,0.12946806848049164,-0.22014115750789642,933.0,176.79637145996094,1778.6451236707646,253.0891739808778
24,46853.0,0.23888935148715973,-0.09636954218149185,0.11164984852075577,-0.21488143503665924,929.0,361.15673828125,738.7400364185028,213.10176166843493
25,47405.0,0.15765301883220673,-0.04784088954329491,0.12780876457691193,-0.16964678466320038,925.0,709.604248046875,2717.820692814125,585.7776384649045
26,47584.0,0.13904008269309998,-0.042427197098731995,0.13944211602210999,-0.15348443388938904,920.0,849.6431884765625,3673.662119637125,457.21206061025254
27,47447.0,0.1685333102941513,-0.061605777591466904,0.13625410199165344,-0.1859869658946991,918.0,867.3577880859375,2798.7966490913063,697.0298606049475
28,47854.0,0.15149135887622833,-0.01903306506574154,0.13359583914279938,-0.16962328553199768,917.0,743.7191772460938,3973.481786689047,413.79049009652476
29,48022.0,0.09741444885730743,0.020165670663118362,0.14571700990200043,-0.12203086912631989,911.0,678.7470703125,2744.2081189795636,1138.3723138522644
30,48174.0,0.12819910049438477,0.0009356482187286019,0.13808667659759521,-0.13831089437007904,912.0,895.0831298828125,3788.873633743734,752.9851486487481
31,47755.0,0.12129460275173187,-0.014780320227146149,0.15022200345993042,-0.14564363658428192,914.0,962.222412109375,5044.07808178305,424.0177710296989
32,47830.0,0.10168718546628952,0.01303829811513424,0.1485186368227005,-0.12263310700654984,919.0,1150.441650390625,4558.318117129726,691.4356408916401
33,47848.0,0.08358456194400787,0.011923989281058311,0.1485968381166458,-0.10622090846300125,919.0,961.4534301757812,2502.5490746413047,82.303706586473
34,47704.0,0.06356149166822433,0.03375935181975365,0.13705173134803772,-0.08848201483488083,921.0,949.0657958984375,1440.516971259574,767.6147097983563
35,47345.0,0.05229843035340309,0.036641813814640045,0.14165276288986206,-0.08302216231822968,922.0,1107.1549072265625,2301.7318001056306,713.6849417490962
36,46952.0,0.17422232031822205,-0.031549789011478424,0.14082558453083038,-0.19237826764583588,928.0,893.7409057617188,3986.0318437086285,662.7493586221141
37,46693.0,0.2689341902732849,-0.1411876529455185,0.12803025543689728,-0.25542131066322327,926.0,168.95272827148438,863.1913232609526,1328.186621243262
38,46567.0,0.2497883141040802,-0.11108721047639847,0.12246216088533401,-0.22702981531620026,926.0,219.48196411132812,810.926282078917,531.3167216580307
39,46988.0,0.18048077821731567,-0.036142174154520035,0.14396274089813232,-0.1969551295042038,925.0,336.12982177734375,3159.751710643235,226.83885443290959
40,47271.0,0.17657135426998138,-0.04844982549548149,0.12030841410160065,-0.17145873606204987,925.0,126.64463806152344,379.6460175894145,857.2741459349056
41,46909.0,0.21040724217891693,-0.06537114828824997,0.1336272954940796,-0.21992450952529907,922.0,303.4689636230469,905.3298752153355,352.93928328025913
42,47434.0,0.3046249747276306,-0.11454208195209503,0.16051669418811798,-0.2870975732803345,921.0,255.10687255859375,4684.920607960561,562.5043448451815
43,47727.0,0.22965487837791443,0.07675082236528397,0.20537510514259338,-0.2209843397140503,921.0,579.1846313476562,3195.459150461335,1101.6647624762868
44,47651.0,0.20427235960960388,-0.07289719581604004,0.14240752160549164,-0.21194671094417572,929.0,319.19818115234375,1405.258125990127,734.5721157521931
45,47830.0,0.23333333432674408,-0.07761164754629135,0.1505046784877777,-0.24107275903224945,925.0,177.11793518066406,842.3049488908065,289.62864426937017
46,48373.0,0.19693006575107574,-0.001526277861557901,0.18211230635643005,-0.22362957894802094,917.0,73.26318359375,0.0,480.6999481048016
47,49276.0,0.13522711396217346,0.07655367255210876,0.18951846659183502,-0.171180859208107,923.0,1.7896350622177124,0.0,629.692418373461
48,49112.0,0.12633481621742249,0.042029958218336105,0.19958214461803436,-0.172527015209198,924.0,15.813102722167969,0.0,481.99929905027176
49,48938.0,0.14599697291851044,0.028409091755747795,0.17040012776851654,-0.15944881737232208,928.0,296.7298889160156,2256.7378010363996,495.80892232262715
50,48104.0,0.17400188744068146,-0.06407379359006882,0.13044129312038422,-0.18283316493034363,929.0,64.76242065429688,1754.7147699914392,549.1975941761903
51,47866.0,0.2682669460773468,-0.12788203358650208,0.14022503793239594,-0.2643125355243683,930.0,693.8051147460938,1793.7086338465674,1139.1557392886755
52,47768.0,0.1031322181224823,0.0310618057847023,0.1652427315711975,-0.13909900188446045,921.0,1447.60498046875,4529.394172129654,582.1987882826712
53,47828.0,0.11420104652643204,0.007445512339472771,0.14629621803760529,-0.14112290740013123,923.0,1021.308349609375,4940.038455318989,390.50242749348513
54,47226.0,0.08962586522102356,0.02415427751839161,0.16468247771263123,-0.12227867543697357,929.0,1006.9074096679688,3557.3304188396273,838.6737644327749
55,46881.0,0.13665270805358887,-0.008116659708321095,0.1385653167963028,-0.15451572835445404,930.0,339.44342041015625,1063.1679664032565,1230.8197196008016
56,46516.0,0.2786885201931,-0.12009389698505402,0.12748239934444427,-0.26163536310195923,932.0,4.530013561248779,504.79312408907276,225.19890191496313
