grid_id,target_temp,ndvi,ndbi,albedo,bldg_area_sqm,road_length_m
0,47614.0,0.059961915016174316,0.04251061752438545,0.14111052453517914,1755.6371185783678,484.0822426202294
1,47632.0,0.08138616383075714,0.037766169756650925,0.15358255803585052,1821.205344872965,633.3116144215329
2,47525.0,0.1204625740647316,0.03799213841557503,0.131321981549263,2958.1096320890965,191.2344928809234
3,47419.0,0.08473820984363556,0.03143236041069031,0.15781839191913605,2482.2871373429693,804.0551377096614
4,47099.0,0.22555996477603912,-0.06977048516273499,0.14696672558784485,2284.159472313167,2.7972256277890315
5,47186.0,0.08175582438707352,0.07529696077108383,0.2416640818119049,2040.7285864305784,0.0
6,47160.0,0.12346241623163223,0.05871126428246498,0.2515389621257782,494.0464088308032,265.78616542214206
7,47092.0,0.21461114287376404,-0.05674548074603081,0.12668201327323914,890.5972296739232,708.3785350679898
8,47331.0,0.21100571751594543,-0.0380718857049942,0.15302227437496185,2267.379825630662,1033.3228406762078
9,47155.0,0.21629947423934937,-0.08857402205467224,0.1351454108953476,2040.1244393274142,141.64485664454764
10,47502.0,0.142224982380867,-0.05228150635957718,0.13127346336841583,4440.256238739139,0.0
11,47669.0,0.20306631922721863,-0.08113562315702438,0.13610751926898956,953.507805623181,251.42564669275328
12,48548.0,0.1948440670967102,-0.005264964886009693,0.18551182746887207,153.96008999873163,213.64447570026658
13,49671.0,0.11149441450834274,0.06069616973400116,0.18781346082687378,3373.0039134721937,283.4396759105862
14,49315.0,0.11731135100126266,0.052259087562561035,0.19661033153533936,1008.4046149171563,189.30365183845728
15,48705.0,0.15629516541957855,0.00019228304154239595,0.15521788597106934,2450.990740338536,448.44748498485757
16,47929.0,0.1038617268204689,0.00648190313950181,0.1386110931634903,3899.7055041525205,524.3592346678972
17,48000.0,0.09526624530553818,-0.007067009806632996,0.13251648843288422,3443.6024509120225,693.2265784445243
18,47922.0,0.1377444565296173,-0.03680309280753136,0.16358953714370728,2730.854202182134,526.3501748718354
19,47729.0,0.21129633486270905,-0.06509570777416229,0.169561967253685,1993.1798006304962,915.7736989389276
20,47185.0,0.22490207850933075,-0.08241037279367447,0.11718659102916718,1815.0612966106773,410.3486273628679
21,47013.0,0.17342430353164673,-0.033950407058000565,0.13787533342838287,1856.954323221362,329.4536506198628
22,46765.0,0.1637665033340454,-0.06630166620016098,0.18598003685474396,2183.9993998646205,551.7342696748399
23,46926.0,0.22028550505638123,-0.0706155076622963,0.12946806848049164,1778.6451236703106,253.089173980836
24,46853.0,0.23888935148715973,-0.09636954218149185,0.11164984852075577,738.7400364181169,213.10176166863738
25,47405.0,0.15765301883220673,-0.04784088954329491,0.12780876457691193,2717.820692814541,585.7776384648307
26,47584.0,0.13904008269309998,-0.042427197098731995,0.13944211602210999,3673.662119626634,457.21206061025254
27,47447.0,0.1685333102941513,-0.061605777591466904,0.13625410199165344,2798.796649086101,697.0298606048441
28,47854.0,0.15149135887622833,-0.01903306506574154,0.13359583914279938,3973.4817866811613,413.79049009652476
29,48022.0,0.09741444885730743,0.020165670663118362,0.14571700990200043,2744.208118976361,1138.3723138519222
30,48174.0,0.12819910049438477,0.0009356482187286019,0.13808667659759521,3788.873633742013,752.9851486483192
31,47755.0,0.12129460275173187,-0.014780320227146149,0.15022200345993042,5044.078081787417,424.0177710299224
32,47830.0,0.10168718546628952,0.01303829811513424,0.1485186368227005,4558.318117127996,691.4356408921276
33,47848.0,0.08358456194400787,0.011923989281058311,0.1485968381166458,2502.549074638369,82.303706586473
34,47704.0,0.06356149166822433,0.03375935181975365,0.13705173134803772,1440.5169712552754,767.6147097981353
35,47345.0,0.05229843035340309,0.036641813814640045,0.14165276288986206,2301.7318001056437,713.6849417489099
36,46952.0,0.17422232031822205,-0.031549789011478424,0.14082558453083038,3986.031843709693,662.7493586229937
37,46693.0,0.2689341902732849,-0.1411876529455185,0.12803025543689728,863.1913232620136,1328.1866212425402
38,46567.0,0.2497883141040802,-0.11108721047639847,0.12246216088533401,810.9262820787616,531.3167216580307
39,46988.0,0.18048077821731567,-0.036142174154520035,0.14396274089813232,3159.7517106434075,226.83885443290959
40,47271.0,0.17657135426998138,-0.04844982549548149,0.12030841410160065,379.6460175892157,857.2741459351506
41,46909.0,0.21040724217891693,-0.06537114828824997,0.1336272954940796,905.3298752153355,352.9392832803461
42,47434.0,0.3046249747276306,-0.11454208195209503,0.16051669418811798,4684.920607961156,562.5043448453705
43,47727.0,0.22965487837791443,0.07675082236528397,0.20537510514259338,3195.459150463898,1101.6647624763236
44,47651.0,0.20427235960960388,-0.07289719581604004,0.14240752160549164,1405.2581259903757,734.5721157518861
45,47830.0,0.23333333432674408,-0.07761164754629135,0.1505046784877777,842.3049488973709,289.62864426949784
46,48373.0,0.19693006575107574,-0.001526277861557901,0.18211230635643005,0.0,480.6999481052425
47,49276.0,0.13522711396217346,0.07655367255210876,0.18951846659183502,0.0,629.692418373477
48,49112.0,0.12633481621742249,0.042029958218336105,0.19958214461803436,0.0,481.99929905027176
49,48938.0,0.14599697291851044,0.028409091755747795,0.17040012776851654,2256.7378010332736,495.8089223224069
50,48104.0,0.17400188744068146,-0.06407379359006882,0.13044129312038422,1754.7147699922411,549.1975941762311
51,47866.0,0.2682669460773468,-0.12788203358650208,0.14022503793239594,1793.7086338419397,1139.155739288853
52,47768.0,0.1031322181224823,0.0310618057847023,0.1652427315711975,4529.394172120404,582.1987882824519
53,47828.0,0.11420104652643204,0.007445512339472771,0.14629621803760529,4940.038455316508,390.5024274937044
54,47226.0,0.08962586522102356,0.02415427751839161,0.16468247771263123,3557.330418836441,838.6737644329418
55,46881.0,0.13665270805358887,-0.008116659708321095,0.1385653167963028,1063.1679664013147,1230.8197196005656
56,46516.0,0.2786885201931,-0.12009389698505402,0.12748239934444427,504.79312409049237,225.19890191496313
57,46286.0,0.2210008203983307,-0.09188277274370193,0.115920789539814,1318.994968318917,294.73437305560265
58,46460.0,0.1782809942960739,-0.06724663078784943,0.16780579090118408,1165.5561054051002,212.56844110861599
59,47148.0,0.1687919646501541,-0.05802397429943085,0.14406204223632812,2527.1091130612876,319.79160978206073
60,47465.0,0.18854902684688568,-0.06493324041366577,0.13136515021324158,1509.7662214297222,669.2408280764848
61,47489.0,0.20071199536323547,-0.07270024716854095,0.13415449857711792,4534.470315017407,375.2550522936808
